id	resolution	upstream	target	note
UA-43	upstream	iso-3166-2-subdivisions		
UA-46	upstream	iso-3166-2-subdivisions		
UA-48	upstream	iso-3166-2-subdivisions		
UA-51	upstream	iso-3166-2-subdivisions		
UA-53	upstream	iso-3166-2-subdivisions		
UA-56	upstream	iso-3166-2-subdivisions		
UA-59	upstream	iso-3166-2-subdivisions		
UA-61	upstream	iso-3166-2-subdivisions		
UA-63	upstream	iso-3166-2-subdivisions		
UA-65	upstream	iso-3166-2-subdivisions		
UA-68	upstream	iso-3166-2-subdivisions		
UA-71	upstream	iso-3166-2-subdivisions		
UA-74	upstream	iso-3166-2-subdivisions		
UA-77	upstream	iso-3166-2-subdivisions		
UG	upstream	iso-3166-1-countries		
UG-101	upstream	iso-3166-2-subdivisions		
UG-102	upstream	iso-3166-2-subdivisions		
UG-103	upstream	iso-3166-2-subdivisions		
UG-104	upstream	iso-3166-2-subdivisions		
UG-105	upstream	iso-3166-2-subdivisions		
UG-106	upstream	iso-3166-2-subdivisions		
UG-107	upstream	iso-3166-2-subdivisions		
UG-108	upstream	iso-3166-2-subdivisions		
UG-109	upstream	iso-3166-2-subdivisions		
UG-110	upstream	iso-3166-2-subdivisions		
UG-111	upstream	iso-3166-2-subdivisions		
UG-112	upstream	iso-3166-2-subdivisions		
UG-113	upstream	iso-3166-2-subdivisions		
UG-114	upstream	iso-3166-2-subdivisions		
UG-115	upstream	iso-3166-2-subdivisions		
UG-116	upstream	iso-3166-2-subdivisions		
UG-117	upstream	iso-3166-2-subdivisions		
UG-118	upstream	iso-3166-2-subdivisions		
UG-119	upstream	iso-3166-2-subdivisions		
UG-120	upstream	iso-3166-2-subdivisions		
UG-121	upstream	iso-3166-2-subdivisions		
UG-122	upstream	iso-3166-2-subdivisions		
UG-123	upstream	iso-3166-2-subdivisions		
UG-124	upstream	iso-3166-2-subdivisions		
UG-125	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
UG-201	upstream	iso-3166-2-subdivisions		
UG-202	upstream	iso-3166-2-subdivisions		
UG-203	upstream	iso-3166-2-subdivisions		
UG-204	upstream	iso-3166-2-subdivisions		
UG-205	upstream	iso-3166-2-subdivisions		
UG-206	upstream	iso-3166-2-subdivisions		
UG-207	upstream	iso-3166-2-subdivisions		
UG-208	upstream	iso-3166-2-subdivisions		
UG-209	upstream	iso-3166-2-subdivisions		
UG-210	upstream	iso-3166-2-subdivisions		
UG-211	upstream	iso-3166-2-subdivisions		
UG-212	upstream	iso-3166-2-subdivisions		
UG-213	upstream	iso-3166-2-subdivisions		
UG-214	upstream	iso-3166-2-subdivisions		
UG-215	upstream	iso-3166-2-subdivisions		
UG-216	upstream	iso-3166-2-subdivisions		
UG-217	upstream	iso-3166-2-subdivisions		
UG-218	upstream	iso-3166-2-subdivisions		
UG-219	upstream	iso-3166-2-subdivisions		
UG-220	upstream	iso-3166-2-subdivisions		
UG-221	upstream	iso-3166-2-subdivisions		
UG-222	upstream	iso-3166-2-subdivisions		
UG-223	upstream	iso-3166-2-subdivisions		
UG-224	upstream	iso-3166-2-subdivisions		
UG-225	upstream	iso-3166-2-subdivisions		
UG-226	upstream	iso-3166-2-subdivisions		
UG-227	upstream	iso-3166-2-subdivisions		
UG-228	upstream	iso-3166-2-subdivisions		
UG-229	upstream	iso-3166-2-subdivisions		
UG-230	upstream	iso-3166-2-subdivisions		
UG-231	upstream	iso-3166-2-subdivisions		
UG-232	upstream	iso-3166-2-subdivisions		
UG-233	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
UG-234	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
UG-237	placeholder-country-centroid	iso-3166-2-placeholder-country-centroid		no coords in Wikidata; centroid of UG
UG-301	upstream	iso-3166-2-subdivisions		
UG-302	upstream	iso-3166-2-subdivisions		
UG-303	upstream	iso-3166-2-subdivisions		
UG-304	upstream	iso-3166-2-subdivisions		
UG-305	upstream	iso-3166-2-subdivisions		
UG-306	upstream	iso-3166-2-subdivisions		
UG-307	upstream	iso-3166-2-subdivisions		
UG-308	upstream	iso-3166-2-subdivisions		
UG-309	upstream	iso-3166-2-subdivisions		
UG-310	upstream	iso-3166-2-subdivisions		
UG-311	upstream	iso-3166-2-subdivisions		
UG-312	upstream	iso-3166-2-subdivisions		
UG-313	upstream	iso-3166-2-subdivisions		
UG-314	upstream	iso-3166-2-subdivisions		
UG-315	upstream	iso-3166-2-subdivisions		
UG-316	upstream	iso-3166-2-subdivisions		
UG-317	upstream	iso-3166-2-subdivisions		
UG-318	upstream	iso-3166-2-subdivisions		
UG-319	upstream	iso-3166-2-subdivisions		
UG-320	upstream	iso-3166-2-subdivisions		
UG-321	upstream	iso-3166-2-subdivisions		
UG-322	upstream	iso-3166-2-subdivisions		
UG-323	upstream	iso-3166-2-subdivisions		
UG-324	upstream	iso-3166-2-subdivisions		
UG-325	upstream	iso-3166-2-subdivisions		
UG-326	upstream	iso-3166-2-subdivisions		
UG-327	upstream	iso-3166-2-subdivisions		
UG-328	upstream	iso-3166-2-subdivisions		
UG-329	upstream	iso-3166-2-subdivisions		
UG-330	upstream	iso-3166-2-subdivisions		
UG-331	upstream	iso-3166-2-subdivisions		
